TIRF Data File: Project 2356; Run 071; Date 01-21-2022; Time 13:21; Tire_Name=Hoosier 18.0X6.0-10, R20; Rim_Width=7.0; ISO False; ID bvm-PDU
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.19	472.99	0.003	-0.025	21.90	22.54	82.11	-465.78	87.76	-992.36	32.31	8.20	0.4694	-0.0884	32.67	27.31	30.29	29.52	26.12	-0.0282
0.010	40.16	472.99	-0.003	-0.021	21.90	22.52	82.16	-477.29	76.83	-991.08	35.44	-10.71	0.4816	-0.0775	32.71	27.34	30.28	29.52	26.12	-0.0276
0.020	40.14	473.06	0.003	-0.009	21.90	22.51	82.06	-469.97	68.80	-1021.00	53.40	-27.09	0.4603	-0.0674	32.75	27.36	30.28	29.47	26.10	-0.0272
0.030	40.13	472.92	0.002	-0.016	21.90	22.51	82.16	-449.40	57.59	-1074.79	80.73	-37.25	0.4181	-0.0536	32.76	27.36	30.26	29.47	26.11	-0.0270
0.040	40.12	472.92	-0.008	-0.015	21.90	22.50	82.11	-423.79	46.95	-1129.58	108.70	-38.54	0.3752	-0.0416	32.78	27.36	30.26	29.46	26.12	-0.0268
0.050	40.11	472.85	0.003	-0.005	21.88	22.50	82.06	-401.29	36.80	-1175.01	131.93	-29.96	0.3415	-0.0313	32.81	27.35	30.28	29.43	26.11	-0.0274
0.060	40.13	472.72	-0.004	-0.019	21.88	22.52	82.26	-389.75	35.62	-1204.22	145.27	-14.67	0.3237	-0.0296	32.81	27.34	30.23	29.43	26.11	-0.0283
0.070	40.16	472.58	0.002	-0.018	21.88	22.54	82.11	-391.02	42.42	-1216.20	147.58	4.47	0.3215	-0.0349	32.82	27.33	30.23	29.47	26.12	-0.0292
0.080	40.18	472.65	0.004	-0.015	21.88	22.55	82.06	-407.09	50.31	-1199.94	133.71	22.91	0.3393	-0.0419	32.85	27.34	30.27	29.57	26.12	-0.0298
0.090	40.22	472.58	-0.008	-0.010	21.88	22.57	82.11	-436.44	60.12	-1156.30	107.26	35.06	0.3774	-0.0520	32.87	27.30	30.27	29.64	26.10	-0.0308
0.100	40.19	472.72	0.006	-0.016	21.89	22.55	82.11	-470.26	73.57	-1105.37	81.16	39.77	0.4254	-0.0666	32.91	27.30	30.27	29.64	26.11	-0.0295
0.110	40.20	472.65	-0.008	-0.003	21.89	22.56	82.00	-505.41	86.30	-1051.93	57.39	34.01	0.4805	-0.0820	32.94	27.26	30.24	29.64	26.12	-0.0299
0.120	40.20	472.85	0.009	-0.007	21.90	22.55	82.06	-534.53	88.27	-1000.93	38.31	19.50	0.5340	-0.0882	32.94	27.24	30.27	29.62	26.11	-0.0290
0.130	40.21	472.92	-0.008	-0.013	21.90	22.55	82.06	-542.87	82.85	-978.73	31.86	1.44	0.5547	-0.0847	32.95	27.26	30.30	29.62	26.10	-0.0289
0.140	40.23	472.85	-0.001	-0.009	21.90	22.57	82.00	-532.50	72.68	-990.56	40.11	-17.05	0.5376	-0.0734	32.91	27.31	30.31	29.61	26.12	-0.0296
0.150	40.21	472.99	-0.006	-0.016	21.90	22.55	82.11	-510.75	64.21	-1033.83	62.81	-31.89	0.4940	-0.0621	32.86	27.30	30.40	29.61	26.12	-0.0288
0.160	40.17	472.99	0.006	-0.007	21.90	22.53	82.11	-483.88	51.45	-1087.30	90.17	-39.36	0.4450	-0.0473	32.81	27.30	30.42	29.61	26.10	-0.0281
0.170	40.13	472.92	0.003	-0.005	21.88	22.51	82.06	-459.79	38.66	-1136.33	115.32	-37.72	0.4046	-0.0340	32.75	27.31	30.42	29.61	26.11	-0.0280
